"SampleID","TAXAID","TotTranLngth_m","Juvenile","DiamMax_cm","DiamPerp_cm","Height_cm","TotMort_pct"
"Samp0034","Siderastrea siderea",10,FALSE,4,3,3,0
"Samp0034","Pseudodiploria strigosa",10,FALSE,8,5,3,0
"Samp0034","Porites porites",10,FALSE,68,36,28,65
"Samp0034","Porites porites",10,FALSE,56,35,23,45
"Samp0034","Porites porites",10,FALSE,47,35,18,80
"Samp0034","Porites porites",10,FALSE,45,13,15,70
"Samp0034","Porites porites",10,FALSE,36,14,15,55
"Samp0034","Porites porites",10,FALSE,30,18,17,80
"Samp0034","Porites porites",10,FALSE,30,19,19,85
"Samp0034","Porites porites",10,FALSE,28,9,7,95
"Samp0034","Porites porites",10,FALSE,28,23,15,65
"Samp0034","Porites porites",10,FALSE,26,10,8,70
"Samp0034","Porites porites",10,FALSE,26,12,15,65
"Samp0034","Porites porites",10,FALSE,20,18,6,70
"Samp0034","Porites porites",10,FALSE,16,11,8,15
"Samp0034","Porites porites",10,FALSE,15,7,5,70
"Samp0034","Porites porites",10,FALSE,13,4,6,55
"Samp0034","Porites porites",10,FALSE,12,8,4,80
"Samp0034","Porites porites",10,FALSE,12,5,6,40
"Samp0034","Porites porites",10,FALSE,10,5,5,30
"Samp0034","Porites porites",10,FALSE,10,6,6,38
"Samp0034","Porites porites",10,FALSE,9,5,7,15
"Samp0034","Porites porites",10,FALSE,8,6,8,40
"Samp0034","Porites astreoides",10,FALSE,38,17,10,65
"Samp0034","Porites astreoides",10,FALSE,18,9,6,20
"Samp0034","Porites astreoides",10,FALSE,13,9,6,15
"Samp0034","Porites astreoides",10,FALSE,12,7,8,60
"Samp0034","Porites astreoides",10,FALSE,10,7,5,20
"Samp0034","Porites astreoides",10,FALSE,10,8,9,0
"Samp0034","Porites astreoides",10,FALSE,9,6,7,10
"Samp0034","Porites astreoides",10,FALSE,9,7,8,10
"Samp0034","Porites astreoides",10,FALSE,9,8,8,40
"Samp0034","Porites astreoides",10,FALSE,8,6,5,30
"Samp0034","Porites astreoides",10,FALSE,8,6,5,10
"Samp0034","Porites astreoides",10,FALSE,7,4,4,0
"Samp0034","Porites astreoides",10,FALSE,7,4,5,60
"Samp0034","Porites astreoides",10,FALSE,7,3,5,60
"Samp0034","Porites astreoides",10,FALSE,5,3,2,0
"Samp0034","Orbicella faveolata",10,FALSE,130,80,110,85
"Samp0034","Orbicella faveolata",10,FALSE,23,18,15,60
"Samp0034","Dichocoenia stokesii",10,FALSE,6,4,4,0
"Samp0034","Agaricia agaricites",10,FALSE,9,5,3,0
"Samp0034","Agaricia agaricites",10,FALSE,7,4,2,0
"Samp0034","Agaricia agaricites",10,FALSE,5,3,2,0
"Samp0034","Agaricia agaricites",10,FALSE,4,3,1,0
"Samp0045","Siderastrea siderea",10,FALSE,18,10,4,10
"Samp0045","Siderastrea siderea",10,FALSE,15,8,3,0
"Samp0045","Siderastrea siderea",10,FALSE,8,4,3,30
"Samp0045","Siderastrea siderea",10,FALSE,7,5,3,25
"Samp0045","Siderastrea siderea",10,FALSE,6,3,2,0
"Samp0045","Siderastrea siderea",10,FALSE,5,3,2,0
"Samp0045","Siderastrea siderea",10,FALSE,4,3,1,0
"Samp0045","Siderastrea siderea",10,FALSE,4,2,2,0
"Samp0045","Siderastrea radians",10,FALSE,4,3,3,0
"Samp0045","Porites porites",10,FALSE,7,4,5,0
"Samp0045","Porites astreoides",10,FALSE,20,10,8,15
"Samp0045","Porites astreoides",10,FALSE,5,3,4,0
"Samp0045","Montastraea cavernosa",10,FALSE,4,3,3,0
"Samp0045","Meandrina meandrites",10,FALSE,7,5,3,0
"Samp0045","Dichocoenia stokesii",10,TRUE,3,2,1,0
"Samp0045","Agaricia agaricites",10,TRUE,3,2,1,0
"Samp0050","Stephanocoenia intersepta",10,FALSE,31,20,10,60
"Samp0050","Stephanocoenia intersepta",10,FALSE,19,9,8,60
"Samp0050","Stephanocoenia intersepta",10,FALSE,19,15,12,0
"Samp0050","Stephanocoenia intersepta",10,FALSE,12,8,5,20
"Samp0050","Stephanocoenia intersepta",10,FALSE,10,6,2,0
"Samp0050","Stephanocoenia intersepta",10,FALSE,9,6,2,0
"Samp0050","Stephanocoenia intersepta",10,FALSE,8,6,1,0
"Samp0050","Stephanocoenia intersepta",10,FALSE,6,2,1,50
"Samp0050","Stephanocoenia intersepta",10,FALSE,6,4,1,0
"Samp0050","Stephanocoenia intersepta",10,FALSE,5,3,1,0
"Samp0050","Siderastrea siderea",10,FALSE,38,35,38,45
"Samp0050","Siderastrea siderea",10,FALSE,16,15,8,0
"Samp0050","Siderastrea siderea",10,FALSE,16,6,10,40
"Samp0050","Siderastrea siderea",10,FALSE,13,9,7,20
"Samp0050","Siderastrea siderea",10,FALSE,12,6,9,25
"Samp0050","Siderastrea siderea",10,FALSE,11,7,5,35
"Samp0050","Siderastrea siderea",10,FALSE,7,4,3,0
"Samp0050","Siderastrea siderea",10,FALSE,5,4,1,10
"Samp0050","Siderastrea siderea",10,FALSE,5,3,1,0
"Samp0050","Siderastrea siderea",10,FALSE,5,4,2,0
"Samp0050","Siderastrea siderea",10,FALSE,5,4,2,10
"Samp0050","Siderastrea siderea",10,FALSE,5,4,4,25
"Samp0050","Siderastrea siderea",10,FALSE,4,3,1,0
"Samp0050","Siderastrea radians",10,FALSE,7,4,1,0
"Samp0050","Porites astreoides",10,FALSE,12,8,2,0
"Samp0050","Porites astreoides",10,FALSE,11,4,8,10
"Samp0050","Porites astreoides",10,FALSE,9,7,10,30
"Samp0050","Porites astreoides",10,FALSE,7,4,3,20
"Samp0050","Porites astreoides",10,FALSE,4,4,5,30
"Samp0050","Montastraea cavernosa",10,FALSE,4,2,1,0
"Samp0050","Madracis decactis",10,FALSE,6,4,3,15
"Samp0050","Agaricia agaricites",10,FALSE,7,5,5,0
"Samp0050","Agaricia agaricites",10,FALSE,6,3,1,20
"Samp0050","Agaricia agaricites",10,FALSE,5,4,1,10
"Samp0065","Stephanocoenia intersepta",10,FALSE,11,7,7,5
"Samp0065","Siderastrea siderea",10,FALSE,22,12,5,0
"Samp0065","Siderastrea siderea",10,FALSE,14,9,6,0
"Samp0065","Siderastrea siderea",10,FALSE,12,10,9,0
"Samp0065","Siderastrea siderea",10,FALSE,8,8,5,5
"Samp0065","Siderastrea siderea",10,FALSE,7,5,4,10
"Samp0065","Siderastrea siderea",10,FALSE,6,5,3,0
"Samp0065","Siderastrea siderea",10,FALSE,5,5,2,15
"Samp0065","Porites porites",10,FALSE,10,7,5,40
"Samp0065","Porites astreoides",10,FALSE,7,6,5,0
