DataSource,SampleID,TotTranLngth_m,SampDate,TAXAID,CommonName,Juvenile,DiamMax_cm,DiamPerp_cm,Height_cm,TotMort_pct,BCG_ATTR,Weedy,LRBC,MorphConvFact,Phylum,Class,SubClass,Order,Family,Genus,SubGenus,Species
NCRMP,Samp0005,10,12/8/2016,Porites porites,Clubtip finger coral,FALSE,3,3,12,60,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,10,8,1,2,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,9,5,1,65,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,9,6,3,18,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,7,3,2,5,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,6,4,2,15,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,5,2,2,5,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,5,3,2,15,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,5,5,2,5,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,5,5,3,25,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0005,10,12/8/2016,Porites astreoides,Mustard hill coral,FALSE,4,4,1,10,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
