INDEX_CLASS,SampleID,TAXAID,N_TAXA
CIP_medium,KS_0040,LEUCROCUTA MACULIPENNIS,1
CIP_medium,KS_0040,MESOVELIA,2
CIP_medium,KS_0040,MICROVELIA,1
CIP_medium,KS_0040,MUSCULIUM TRANSVERSUM,30
CIP_medium,KS_0040,NASIAESCHNA PENTACANTHA,1
CIP_medium,KS_0040,NEOPERLA,7
CIP_medium,KS_0040,NEOPORUS DIMIDIATUS,3
CIP_medium,KS_0040,PALMACORIXA,1
CIP_medium,KS_0040,PARACHIRONOMUS,1
CIP_medium,KS_0040,PARACYMUS,2
CIP_medium,KS_0040,PELTODYTES SEXMACULATUS,2
CIP_medium,KS_0040,PHYSELLA,34
CIP_medium,KS_0040,POLYPEDILUM,28
CIP_medium,KS_0040,PROCLADIUS,7
CIP_medium,KS_0040,SCIRTIDAE,4
CIP_medium,KS_0040,SIALIS,10
CIP_medium,KS_0040,SIGARA,1
CIP_medium,KS_0040,SIMULIUM,43
CIP_medium,KS_0040,STENACRON INTERPUNCTATUM,3
CIP_medium,KS_0040,STENELMIS,11
CIP_medium,KS_0040,STENELMIS CRENATA,2
CIP_medium,KS_0040,STENELMIS SEXLINEATA,11
CIP_medium,KS_0040,TABANUS,1
CIP_medium,KS_0040,TELOPELOPIA OKOBOJI,1
CIP_medium,KS_0040,THIENEMANNIMYIA GROUP,2
CIP_medium,KS_0040,TREPOBATES,1
CIP_medium,KS_0040,TRIBELOS,2
CIP_medium,KS_0040,TRICHOCORIXA,5
CIP_medium,KS_0040,TROPISTERNUS,8
CIP_medium,KS_0041,ABLABESMYIA,3
CIP_medium,KS_0041,ACERPENNA PYGMAEA,2
CIP_medium,KS_0041,BAETIS,15
CIP_medium,KS_0041,BASIAESCHNA JANATA,2
CIP_medium,KS_0041,CAENIS,19
CIP_medium,KS_0041,CENTROPTILUM,2
CIP_medium,KS_0041,CERACLEA,1
CIP_medium,KS_0041,CHEUMATOPSYCHE,95
CIP_medium,KS_0041,CHIRONOMIDAE,2
CIP_medium,KS_0041,DINEUTUS,2
CIP_medium,KS_0041,DUBIRAPHIA,9
CIP_medium,KS_0041,DUGESIA,1
