SAMPLEID,LATITUDE,LONGITUDE,COLLDATE
IA_Bio_Samp0121,42.97925,-95.42797,8/2/1995
IA_Bio_Samp0126,42.64096,-95.73442,9/20/2017
IA_Bio_Samp0132,42.10882,-91.90975,8/14/2017
IA_Bio_Samp0137,41.73159,-91.15097,9/7/2016
IA_Bio_Samp0143,43.32267,-92.73617,8/16/2013
IA_Bio_Samp0148,43.4242,-93.02242,8/9/2017
IA_Bio_Samp0153,43.43382,-93.59606,9/28/2015
IA_Bio_Samp0161,43.27668,-93.35399,7/22/2019
IA_Bio_Samp0166,42.02781,-94.29991,8/7/2019
IA_Bio_Samp0171,42.07018,-94.28649,8/15/2018
IA_Bio_Samp0176,43.18381,-95.07184,9/12/2017
IA_Bio_Samp0178,43.20024,-95.83642,9/14/1999
IA_Bio_Samp0182,41.89942,-92.47435,8/23/2016
IA_Bio_Samp0195,42.10767,-93.56874,8/31/2017
IA_Bio_Samp0200,42.81921,-91.88484,7/31/2018
IA_Bio_Samp0210,41.205,-91.39905,7/16/2018
IA_Bio_Samp0215,41.20845,-91.37181,8/24/2017
IA_Bio_Samp0223,43.14163,-92.3741,8/20/2019
IA_Bio_Samp0228,43.15233,-92.64391,9/13/2017
IA_Bio_Samp0229,40.72787,-94.84535,10/11/1995
IA_Bio_Samp0230,40.72836,-95.2848,10/12/1995
IA_Bio_Samp0248,43.07914,-95.459,9/16/2019
IA_Bio_Samp0253,41.6891,-94.26075,9/6/2017
IA_Bio_Samp0258,42.90273,-93.26263,7/25/2017
IA_Bio_Samp0263,42.85083,-92.77662,7/23/2019
IA_Bio_Samp0268,42.55496,-92.81647,8/19/2019
IA_Bio_Samp0273,42.39439,-92.48685,9/19/2017
IA_Bio_Samp0278,42.30222,-91.95853,8/7/2017
IA_Bio_Samp0283,43.23494,-92.9111,8/8/2017
IA_Bio_Samp0287,43.46297,-92.63058,8/17/2010
IA_Bio_Samp0292,42.38901,-94.07908,8/1/2019
IA_Bio_Samp0297,40.58212,-94.14781,7/17/2018
IA_Bio_Samp0302,42.20567,-91.44599,8/3/2016
IA_Bio_Samp0306,43.48395,-95.20949,8/11/2014
IA_Bio_Samp0310,43.30092,-95.20613,8/12/2014
IA_Bio_Samp0315,43.34118,-95.95711,8/27/2019
IA_Bio_Samp0320,41.09395,-95.19043,9/4/2019
IA_Bio_Samp0325,42.5413,-94.34505,8/19/2019
IA_Bio_Samp0326,41.5803,-91.04966,9/16/1996
IA_Bio_Samp0327,41.58033,-91.04716,9/16/1996
IA_Bio_Samp0328,41.72724,-91.0948,9/17/1996
IA_Bio_Samp0329,41.59427,-90.91031,9/17/1996
IA_Bio_Samp0330,41.5932,-90.90896,9/17/1996
IA_Bio_Samp0331,41.75649,-91.09163,9/18/1996
IA_Bio_Samp0332,41.75758,-91.09113,9/18/1996
IA_Bio_Samp0333,41.5796,-91.01254,9/24/1996
